F157,F159,F160,F162,F265,F267,F268,F270,F886,F1936,F1938,F2074,F2076,F2182,F2285,F2481,F2578,F2779,F3226,F3228,F3229,F3231,F3337,F3339,F3445,F3447,F3502,F3504,F3908,F3912,F115,F321,F527,F531,F670,F1692,F2082,F2122,F2582,F2678,F2737,F2956,F3836,F3887,F3894,F3924
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.943661972,0.676056338,0.94047619,1.0,6.02,-0.05,0.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.37,4.37,0,0,0.0,1.07,0.0,1.21,0.0,0.0,0.0,0.0,0.12,0.72,0.26,202.0,3228810.72,172,39.0,0
0.48,0.46,0.45,0.44,0.22,0.23,0.17,0.13,0.0,0.0,0.0,1.0,0.448275862,0.945054945,0.13,0.19,-0.31,-0.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.49,0.84,0.9,0.72,0.0,0.0,0.0,0.0,0.02,-0.31,-0.41,43.0,189185.54,172,39.0,0
0.61,0.49,0.64,0.46,0.45,0.33,0.6,0.44,0.0,0.0,0.0,0.607142857,0.428571429,0.603448276,2.29,2.74,0.41,-0.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.6,1.29,1.58,1.01,0.0,2.0,0.0,0.006465517,0.29,-0.37,0.18,62.0,2898.72,170,44.0,0
0.59,0.69,0.76,0.82,0.3,0.34,0.37,0.38,0.0,0.035714286,0.035714286,0.858208955,0.776119403,0.894428152,0.0,0.0,-0.08,-0.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.59,0.96,0.87,1.27,0.0,0.0,0.0,0.0,-0.08,0.0,-0.08,24.0,188015.13,169,35.0,0
0.71,0.75,0.85,0.82,0.71,0.75,0.85,0.82,0.0,0.0,0.0,0.466666667,0.4,0.615384615,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.73,1.05,0.99,1.17,0.0,0.0,0.0,0.025641026,-0.06,-0.12,-0.19,37.0,202158.6,169,29.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.53,1.0,1.0,1.21,0.0,0.0,0.033333333,0.0,-0.05,-0.12,-0.15,19.0,15577387.94,168,30.0,0
0.34,0.33,0.47,0.49,0.29,0.33,0.47,0.49,0.0,0.0,0.0,0.942307692,0.240384615,0.961111111,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.32,1.16,0.91,1.64,0.0,1.0,0.0,0.005555556,0.0,-0.12,0.0,64.0,4764082.56,171,40.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.96875,0.59375,0.968253968,0.54,0.54,0.28,0.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,-0.15,-0.07,70.0,150231404.7,170,29.0,0
0.48,0.52,0.67,0.62,0.28,0.29,0.43,0.41,0.0,0.0,0.0,0.872483221,0.463087248,0.874213836,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.54,1.08,1.02,1.43,0.0,0.0,0.0,0.0,0.0,-0.12,0.63,38.0,175444.16,168,23.0,0
0.38,0.36,0.43,0.39,0.17,0.16,0.22,0.18,0.0,0.0,0.0,0.719512195,0.719512195,0.726072607,0.75,3.04,0.0,-0.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.39,0.96,1.32,1.04,0.0,0.0,0.0,0.0,0.18,-0.03,-0.34,195.0,62072.9,168,32.0,0
0.3,0.28,0.67,0.66,0.25,0.23,0.67,0.66,0.0,0.0,0.0,1.0,0.75862069,1.0,1.99,6.76,0.25,0.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.41,7.41,0,0,0.33,1.15,1.14,2.35,0.0,0.0,0.0,0.0,-0.23,0.02,-0.04,133.0,1422081.78,170,47.0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.887417219,0.483443709,0.870813397,0.17,2.45,-0.37,-0.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47,-0.01,29.0,5997383.71,168,29.0,0
0.48,0.45,0.64,0.61,0.39,0.34,0.48,0.44,0.0,0.0,0.0,0.847560976,0.609756098,0.851123596,0.0,0.8,-0.13,-0.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.47,0.92,1.09,1.2,0.0,0.0,0.0,0.0,-0.13,-0.36,-0.58,29.0,5962257.01,170,43.0,0
0.58,0.59,0.88,0.91,0.35,0.37,0.68,0.81,0.0,0.0,0.0,0.947368421,0.947368421,0.93442623,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.87,10.87,0,0,0.59,1.33,0.97,2.18,0.0,0.0,0.0,0.0,0.23,-0.12,-0.21,31.0,1317922.25,170,15.0,0
0.28,0.23,0.54,0.41,0.19,0.14,0.33,0.18,0.0,0.0,0.0,1.0,0.580645161,0.981132075,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.25,0.94,1.43,1.01,0.0,0.0,0.0,0.0,0.04,-0.12,-0.04,129.0,8004.31,168,56.0,0
0.74,0.72,0.71,0.68,0.37,0.41,0.4,0.4,0.0,0.0,0.0,0.746606335,0.542986425,0.770992366,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.72,1.13,0.94,1.07,0.0,0.0,0.027149321,0.0,0.43,-0.12,-0.37,61.0,966482.4,171,65.0,0
0.52,0.58,0.75,0.95,0.31,0.42,0.72,0.93,0.0,0.0,0.0,0.0,0.0,0.142857143,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.55,1.63,0.89,2.81,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,2.0,73561.23,169,27.0,0
0.24,0.24,0.27,0.29,0.18,0.18,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2.23,4.13,0.79,0.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.25,0.88,1.08,0.95,0.0,0.0,0.0,0.0,0.03,-0.27,0.19,163.0,3017415.75,170,62.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.023809524,0.023809524,0.644444444,0.577777778,0.674698795,2.0,6.0,0.37,0.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1.0,1.21,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.09,0.29,56.0,461804.84,170,34.0,0
0.54,0.56,0.59,0.59,0.29,0.29,0.39,0.32,0.0,0.0,0.0,0.857142857,0.857142857,0.8125,0.65,2.2,-0.04,-0.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.81,34.81,1,0,0.56,1.05,0.84,1.14,0.0,0.0,0.0,0.0,-0.01,-0.1,-0.12,651.0,607243.26,171,35.0,0
0.42,0.41,0.47,0.5,0.19,0.19,0.26,0.28,1.0,0.0,0.0,1.0,0.38410596,0.991902834,0.36,1.13,-0.23,-0.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.41,1.15,0.69,1.33,1.0,0.0,0.0,0.0,-0.05,-0.32,-0.32,112.0,9483964.46,170,25.0,0
0.87,0.86,0.94,0.96,0.78,0.71,0.86,0.82,0.0,0.0,0.0,0.473214286,0.401785714,0.429292929,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.77,1.09,0.97,1.22,0.0,0.0,0.0,0.015151515,0.5,-0.12,-0.28,45.0,18902057.21,169,44.0,0
0.43,0.42,0.4,0.34,0.27,0.26,0.33,0.27,0.0,0.0,0.0,0.615384615,0.615384615,0.470588235,5.24,6.1,1.91,0.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.42,1.29,1.04,1.0,0.0,0.0,0.0,0.0,-0.22,-0.44,0.09,89.0,4643.69,169,36.0,0
1.0,1.0,1.0,1.0,0.7,0.69,0.57,0.57,0.0,0.0,0.0,1.0,0.891304348,1.0,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.02,27.02,0,0,1.0,1.02,1.05,0.94,0.0,0.0,0.0,0.0,-0.41,-0.12,-0.34,121.0,777606.9,170,64.0,0
0.62,0.59,0.63,0.6,0.28,0.32,0.32,0.35,0.0,0.0,0.0,0.641025641,0.58974359,0.801369863,0.0,0.04,-0.07,-0.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.58,1.19,0.67,1.16,0.0,0.0,0.0,0.0,-0.07,-0.44,-0.45,44.0,1814069.25,169,32.0,0
0.46,0.46,0.28,0.31,0.35,0.37,0.15,0.25,0.0,0.0,0.0,0.640776699,0.504854369,0.644859813,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.46,0.69,0.78,0.72,0.0,0.0,0.019417476,0.004672897,0.05,-0.12,-0.12,150.0,15667285.65,169,37.0,0
0.52,0.55,0.45,0.37,0.26,0.27,0.33,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.26,-0.32,-0.29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.52,1.48,0.77,1.07,0.0,0.0,0.0,0.0,-0.01,0.04,-0.04,164.0,33905.35,168,32.0,0
0.51,0.49,0.9,0.89,0.27,0.25,0.76,0.81,0.0,0.0,0.0,0.5,0.5,0.534883721,0.06,0.21,-0.4,-0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.84,5.84,1,0,0.51,1.56,1.23,2.98,0.0,0.0,0.0,0.0,-0.08,-0.44,-0.63,224.0,66082.49,170,26.0,0
0.37,0.52,0.36,0.62,0.26,0.29,0.27,0.41,0.0,0.0,0.0,0.931818182,0.681818182,0.925233645,0.06,0.07,-0.35,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.47,0.8,0.91,1.09,0.0,0.0,0.0,0.0,0.0,-0.23,-0.5,12.0,873619.32,169,28.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.2,-0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.43,1.35,0.0,0.84,0.0,1.0,0.0,1.0,0.0,0.0,-0.21,12.0,346769.12,169,37.0,0
0.71,0.66,0.96,0.97,0.31,0.3,0.83,0.9,0.0,0.0,0.0,1.0,0.688888889,1.0,0.43,0.49,-0.43,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.7,1.96,1.08,2.59,0.0,0.0,0.0,0.0,0.0,-0.08,-0.4,14.0,75817.85,169,36.0,0
0.48,0.48,0.4,0.63,0.17,0.18,0.12,0.27,0.0,0.0,0.0,0.368421053,0.263157895,0.634615385,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.48,2.01,0.9,4.03,1.0,0.0,0.0,0.0,0.28,-0.12,1.39,73.0,121510.84,169,32.0,0
0.52,0.6,0.36,0.41,0.35,0.4,0.28,0.32,0.0,0.0,0.0,0.96,0.92,0.954166667,0.0,2.19,-0.33,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.57,1.51,0.96,1.79,0.0,0.0,0.0,0.0,0.0,0.79,0.34,8.0,4317833.45,169,28.0,0
0.41,0.41,0.71,0.69,0.18,0.12,0.43,0.12,0.0,0.0,0.0,0.834645669,0.57480315,0.860119048,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.41,1.0,1.71,0.7,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,2.0,7380887.84,168,32.0,0
0.21,0.19,0.26,0.29,0.12,0.11,0.15,0.25,0.0,0.0,0.0,0.666666667,0.666666667,0.571428571,0.0,0.01,-0.37,-0.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.3,1.18,0.93,0.83,0.0,0.0,0.0,0.0,0.0,-0.44,-0.52,23.0,2306636.42,170,33.0,0
0.52,0.55,0.38,0.45,0.23,0.25,0.29,0.36,0.0,0.0,0.0,0.0,0.0,0.0,4.27,9.58,1.61,1.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.52,1.73,0.47,1.54,0.0,1.0,0.0,0.25,0.13,0.02,-0.42,235.0,2225360.25,170,84.0,0
0.46,0.44,0.46,0.49,0.28,0.26,0.32,0.32,0.0,0.0,0.0,1.0,0.271604938,0.988304094,0.8,2.54,-0.01,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.47,1.13,1.07,1.18,0.0,0.0,0.0,0.0,-0.45,0.06,-0.04,145.0,4702616.66,168,84.0,0
0.37,0.34,0.35,0.36,0.18,0.17,0.16,0.18,0.0,0.1,0.1,0.8,0.775,0.84,0.8,1.72,-0.09,-0.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.38,0.99,1.19,0.94,0.0,0.0,0.0,0.01,0.08,-0.26,-0.35,234.0,45800.68,167,45.0,0
0.5,0.55,0.55,0.89,0.08,0.09,0.04,0.06,0.0,0.0,0.0,0.666666667,0.545454545,0.573333333,0.9,1.98,0.1,-0.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.42,2.23,1.75,0.24,0.0,0.0,0.0,0.0,-0.07,-0.26,-0.14,160.0,98880.37,167,17.0,0
0.25,0.42,0.26,0.38,0.14,0.25,0.18,0.26,0.0,0.0,0.0,0.545454545,0.454545455,0.5,0.33,2.06,-0.32,-0.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.28,1.23,0.38,1.66,1.0,0.0,0.0,0.0,0.06,-0.13,0.05,126.0,456595.83,169,40.0,0
0.43,0.44,0.6,0.64,0.25,0.25,0.39,0.36,0.0,0.0,0.0,0.979591837,0.591836735,0.990990991,0.0,0.25,-0.14,-0.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0.43,1.08,0.93,1.51,0.0,0.0,0.0,0.0,0.0,-0.33,-0.41,6.0,635549.62,170,27.0,0
0.48,0.39,0.72,0.72,0.27,0.16,0.48,0.48,0.0,0.0,0.0,0.003205128,0.0,0.001282051,2.0,2.0,0.72,-0.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.48,1.2,1.22,1.83,0.0,6.0,0.0,0.011538462,0.1,-0.49,-0.21,88.0,401.65,169,37.0,0
0.49,0.41,0.77,0.76,0.31,0.25,0.63,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.5,1.31,1.11,1.91,0.0,1.0,0.0,1.0,0.41,0.87,-0.57,38.0,992784.72,170,35.0,0
1.0,1.0,1.0,1.0,0.77,0.89,0.99,1.0,0.0,0.0,0.0,0.945454545,0.672727273,0.918032787,0.6,0.96,-0.25,-0.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,1.0,1.09,0.82,1.9,0.0,0.0,0.0,0.008196721,0.79,-0.36,-0.26,105.0,6608.37,169,42.0,0
0.54,0.48,0.9,0.86,0.21,0.21,0.54,0.56,0.0,0.0,0.0,0.98816568,0.461538462,0.982300885,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.13,17.13,1,0,0.52,1.48,0.91,2.72,0.0,0.0,0.0,0.0,0.0,-0.12,-0.48,10.0,1817645.71,169,39.0,0
0.51,0.53,0.86,0.86,0.28,0.26,0.65,0.65,0.0,0.0,0.0,1.0,0.9,0.98245614,0.37,1.93,-0.33,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.44,1.61,0.73,3.26,0.0,0.0,0.0,0.0,-0.39,-0.22,-0.53,121.0,685.92,167,47.0,0
0.56,0.55,0.69,0.64,0.48,0.45,0.68,0.64,0.0,0.0,0.0,0.904109589,0.589041096,0.943661972,0.61,1.99,-0.24,-0.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.56,1.17,1.25,1.32,0.0,0.0,0.0,0.0,0.25,0.03,-0.11,158.0,88825608.47,170,14.0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.051282051,0.051282051,0.723404255,0.595744681,0.819047619,1.48,5.58,0.15,0.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.04,30.04,1,0,0.91,1.18,0.72,1.42,0.0,0.0,0.0,0.0,0.0,0.07,-0.16,361.0,-3252906222.0,167,32.0,0
0.63,0.72,0.65,0.72,0.4,0.47,0.57,0.67,0.0,0.0,0.0,0.666666667,0.466666667,0.542857143,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.61,1.42,0.68,1.73,1.0,1.0,0.0,0.028571429,-0.02,-0.12,-0.09,155.0,105070764.0,169,30.0,0
0.44,0.41,0.54,0.51,0.28,0.18,0.44,0.35,0.0,0.0,0.0,0.0,0.0,0.166666667,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.44,1.29,1.7,1.24,1.0,0.0,0.0,0.0,-0.11,-0.12,-0.14,149.0,1429406.71,168,32.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.891666667,0.758333333,0.87732342,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.9,21.9,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.24,-0.14,-0.24,37.0,145734.82,168,62.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.65,5.65,0,0,0.48,0.77,0.86,0.86,0.0,1.0,0.0,0.111111111,0.56,-0.45,-0.45,26.0,289214.81,166,70.0,0
1.0,0.52,1.0,0.62,1.0,0.29,1.0,0.41,0.0,0.0,0.0,0.932773109,0.890756303,0.943708609,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.4,1.12,1.53,1.0,0.0,0.0,0.0,0.026490066,-0.39,-0.12,-0.03,52.0,68316.69,168,59.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.888888889,0.888888889,0.9,33.85,190.02,23.24,64.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.49,1.02,1.0,1.22,0.0,0.0,0.0,0.0,0.0,1.68,1.99,22.0,223196.55,167,50.0,0
0.51,0.52,0.61,0.62,0.29,0.29,0.38,0.41,0.0,0.0,0.0,0.75,0.75,0.666666667,3.0,8.08,0.63,0.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1.0,0.83,1.01,0.91,0.0,0.0,0.0,0.0,0.31,0.01,0.15,119.0,56237740.85,166,32.0,0
0.44,0.39,0.55,0.58,0.25,0.24,0.29,0.19,0.0,0.25,0.25,0.230769231,0.230769231,0.125,0.0,0.22,-0.53,-0.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.44,0.92,1.03,0.76,0.0,0.0,0.0,0.0,1.35,-0.52,-0.26,118.0,446465.48,168,51.0,0
0.62,0.62,0.71,0.67,0.41,0.41,0.64,0.58,0.0,0.0,0.0,0.596153846,0.125,0.73480663,0.3,0.48,-0.14,-0.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.62,1.33,1.08,1.38,0.0,0.0,0.0,0.0,0.07,-0.33,-0.33,134.0,272283.53,169,29.0,0
0.78,0.86,0.78,0.84,0.56,0.71,0.77,0.84,0.0,0.0,0.0,0.855555556,0.488888889,0.837837838,0.38,1.49,-0.1,-0.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.8,0.76,0.0,1.84,0.0,0.0,0.0,0.0,0.0,-0.12,0.34,64.0,1177773.38,169,30.0,0
0.63,0.61,0.99,0.99,0.37,0.33,0.98,0.98,0.0,0.0,0.0,0.966666667,0.966666667,0.914634146,0.0,0.0,0.0,-0.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.57,1.71,3.0,2.93,0.0,0.0,0.0,0.048780488,0.0,-0.33,-0.32,3.0,228893.12,169,34.0,0
